feature,ood_mean,id_mean,mean_diff(ood-id),mannwhitney_p,effect_delta,effect_delta_ci_low,effect_delta_ci_high,fdr_q
z_u,0.7233387287839083,-0.7233387287839083,1.4466774575678165,0.0,0.8396893299999999,0.83196400875,0.84742560825,0.0
z_c,0.9241606731991798,-0.9241606731991796,1.8483213463983594,0.0,0.7647817800000001,0.7555818822499999,0.7735616145,0.0
d_conf_drop,0.38913482152819645,6.625811010962934e-17,0.3891348215281964,0.0,0.7647817800000001,0.7555818822499999,0.7735616145,0.0
d_entropy_gain,0.3326415514099074,5.151434834260726e-18,0.3326415514099074,0.0,0.8396893299999999,0.83196400875,0.84742560825,0.0
d_energy_gain,12.501669435691836,-1.5120349416974931e-15,12.501669435691838,0.0,0.99259918,0.9911813715000001,0.9938911045000001,0.0
d_oodscore_gain,0.3891348215222358,7.815970093361103e-18,0.3891348215222358,0.0,0.76478179,0.7555818822499999,0.7735616245,0.0
conf,0.44817093565911054,0.8373057571873069,-0.3891348215281964,0.0,-0.76478178,-0.7735616145,-0.75558188225,0.0
entropy_norm,0.4437972131484552,0.11115566173854773,0.3326415514099075,0.0,0.8396893299999999,0.83196400875,0.84742560825,0.0
energy,-19.692502152824403,-32.194171588516234,12.50166943569183,0.0,0.99259918,0.9911813715000001,0.9938911045000001,0.0
ood_score,0.551829064232111,0.16269424270987512,0.3891348215222359,0.0,0.76478179,0.7555818822499999,0.7735616245,0.0
