model,AUROC,AUROC_95CI_low,AUROC_95CI_high,AUPR,TNR@95TPR,TNR95_95CI_low,TNR95_95CI_high
energy_single,0.9962537777777779,0.9949520983411101,0.9974247532071796,0.9968947683342473,0.996,0.9929310161516278,0.9980027792015163
logistic_2d,0.9410653333333333,0.9348698924821992,0.9463716743816011,0.945177315405334,0.687,0.6510501533792922,0.7259876752727714
linear_svm,0.9410445555555557,0.93485093887574,0.9463718688485975,0.9451792246197244,0.6873333333333334,0.6512365295562502,0.7255930075636319
zsum_1d,0.9072492222222222,0.9001926749006863,0.9144862109180287,0.9093413978426215,0.5986666666666667,0.5673880123105038,0.6304746006439954
msp_single,0.8862413333333332,0.8781049058471633,0.8942336754762171,0.8828209605591131,0.5780000000000001,0.5417669401095645,0.6056310179176537
